source	name	host	bias	factuality	country	detail
100percentfedup.com	100% fed up	https://100percentfedup.com	questionable sources	low	united states	https://mediabiasfactcheck.com/100-percent-fed-up/
1010wins.radio.com	1010 wins am	https://1010wins.radio.com	least biased	high	united states	https://mediabiasfactcheck.com/1010-wins-am/
10news.one	10news.one	https://www.10news.one	questionable sources	low	united states	https://mediabiasfactcheck.com/10news-one/
12news.com	12 news kpnx	https://12news.com	least biased	high	united states	https://mediabiasfactcheck.com/12-news-kpnx/
	tyranny rising	https://	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/tyranny-rising/
whitehouse.gov	1600 daily	https://www.whitehouse.gov	right	mostly factual	united states	https://mediabiasfactcheck.com/1600-daily/
21stcenturywire.com	21st century wire	https://21stcenturywire.com	conspiracy-pseudoscience	mixed	united states	https://mediabiasfactcheck.com/21st-century-wire/
us24news.com	24 news	https://us24news.com	questionable sources	low	united states	https://mediabiasfactcheck.com/24-news/
247newsmedia.com	247 news media	https://247newsmedia.com	questionable sources	very low	macedonia	https://mediabiasfactcheck.com/247-news-media/
24ur.com	24ur.com	https://24ur.com	least biased	mostly factual	slovenia	https://mediabiasfactcheck.com/24ur-com/
secondamendmentdaily.com	2nd amendment daily news	https://secondamendmentdaily.com	questionable sources	low	united states	https://mediabiasfactcheck.com/2nd-amendment-daily-news/
2ndvote.com	2ndvote	https://2ndvote.com	right	mixed	united states	https://mediabiasfactcheck.com/2ndvote/
369news.net	369 news	https://369news.net	conspiracy-pseudoscience	mixed	unknown or invalid region	https://mediabiasfactcheck.com/369news/
38north.org	38 north	https://www.38north.org	least biased	high	united states	https://mediabiasfactcheck.com/38-north/
3ccorp.net/	3ccorp.net	https://3ccorp.net/	questionable sources	low	united states	https://mediabiasfactcheck.com/3ccorp-net/
680news.com	680 news	https://www.680news.com	least biased	high	canada	https://mediabiasfactcheck.com/680-news/
71republic.com	71 republic	https://71republic.com	right-center	high	united states	https://mediabiasfactcheck.com/71-republic/
7news.com.au	7news	https://7news.com.au	right-center	mixed	australia	https://mediabiasfactcheck.com/7news/
9news.com.au	9 news (australia)	https://www.9news.com.au	right-center	high	australia	https://mediabiasfactcheck.com/9-news-australia/
911truth.org	911truth.org	https://911truth.org	conspiracy-pseudoscience	low	united states	https://mediabiasfactcheck.com/911truth-org/
972mag.com	972 magazine	https://972mag.com	left-center	high	israel	https://mediabiasfactcheck.com/972-magazine/
9news.com	9news - kusa	https://9news.com	least biased	high	united states	https://mediabiasfactcheck.com/9news-kusa/
